address_id,address,district,city_id,postal_code,phone,location,last_update
41,1440 Fukuyama Loop,Henan,362,47929,9.12257E+11,POINT (112.5327806 32.9947239),25-09-2014 22.30
42,269 Cam Ranh Parkway,Chisinau,115,34689,4.89784E+11,POINT (28.8575834 47.0055601),25-09-2014 22.32
43,306 Antofagasta Place,Esprito Santo,569,3989,3.78319E+11,POINT (0 0),25-09-2014 22.30
44,671 Graz Street,Oriental,353,94399,6.80769E+11,POINT (-2.9335289 35.1681312),25-09-2014 22.32
45,42 Brindisi Place,Yerevan,586,16744,42384721397,POINT (44.5136157 40.1811198),25-09-2014 22.30
46,1632 Bislig Avenue,Nonthaburi,394,61117,4.71676E+11,POINT (100.4988397 13.9130104),25-09-2014 22.33
47,1447 Imus Way,Tahiti,167,48942,5.39758E+11,POINT (-149.6843672 -17.5546957),25-09-2014 22.31
48,1998 Halifax Drive,Lipetsk,308,76022,1.77728E+11,POINT (39.5707653 52.6031163),25-09-2014 22.32
49,1718 Valencia Street,Antofagasta,27,37359,6.75293E+11,POINT (-70.3954856 -23.6523691),25-09-2014 22.30
50,46 Pjatigorsk Lane,Moscow (City),343,23616,2.62077E+11,POINT (37.5386455 55.7488297),25-09-2014 22.32
51,686 Garland Manor,Cear,247,52535,69493378813,POINT (0 0),25-09-2014 22.30
52,909 Garland Manor,Tatarstan,367,69367,7.058E+11,POINT (51.8244755 55.6365792),25-09-2014 22.32
53,725 Isesaki Place,Mekka,237,74428,8.76295E+11,POINT (39.1979758 21.5423826),25-09-2014 22.33
54,115 Hidalgo Parkway,Khartum,379,80168,3.07704E+11,POINT (32.4777359 15.6445381),25-09-2014 22.33
55,1135 Izumisano Parkway,California,171,48150,1.71823E+11,POINT (-117.4350521 34.0922301),25-09-2014 22.33
56,939 Probolinggo Loop,Galicia,1,4166,6.80428E+11,POINT (0 0),25-09-2014 22.33
57,17 Kabul Boulevard,Chiba,355,38594,6.97761E+11,POINT (139.9026668 35.8563057),25-09-2014 22.31
58,1964 Allappuzha (Alleppey) Street,Yamaguchi,227,48980,9.20811E+11,POINT (132.2220908 34.1629706),25-09-2014 22.31
59,1697 Kowloon and New Kowloon Loop,Moskova,49,57807,4.99352E+11,POINT (0 0),25-09-2014 22.32
60,1668 Saint Louis Place,Tahiti,397,39072,3.47488E+11,POINT (-149.5665635 -17.5373362),25-09-2014 22.31
61,943 Tokat Street,Vaduz,560,45428,8.89319E+11,POINT (9.5215498 47.1415115),25-09-2014 22.31
62,1114 Liepaja Street,Sarawak,282,69226,2.12869E+11,POINT (110.3333389 1.5570314),25-09-2014 22.32
63,1213 Ranchi Parkway,Karnataka,350,94352,8.00024E+11,POINT (766456911.0 13.5639657),25-09-2014 22.31
64,81 Hodeida Way,Rajasthan,231,55561,2.50768E+11,POINT (75.7878198 26.9196216),25-09-2014 22.31
65,915 Ponce Place,Basel-Stadt,56,83980,1395251317,POINT (7.5732756 47.5583998),25-09-2014 22.33
66,1717 Guadalajara Lane,Missouri,441,85505,9.1409E+11,POINT (-90.1978931 38.6272726),25-09-2014 22.33
67,1214 Hanoi Way,Nebraska,306,67055,4.91001E+11,POINT (-96.6669636 40.8194939),25-09-2014 22.33
68,1966 Amroha Avenue,Sichuan,139,70385,3.33489E+11,POINT (107.5009216 31.2159254),25-09-2014 22.30
69,698 Otsu Street,Cayenne,105,71110,4.09984E+11,POINT (-52.3333399 4.9333377),25-09-2014 22.31
70,1150 Kimchon Manor,Skne ln,321,96109,6.63449E+11,POINT (0 0),25-09-2014 22.33
71,1586 Guaruj Place,Hunan,579,5135,9.47233E+11,POINT (112.9985807 27.8519136),25-09-2014 22.30
72,57 Arlington Manor,Madhya Pradesh,475,48960,9.90214E+11,POINT (77.6514276 25.4308235),25-09-2014 22.31
73,1031 Daugavpils Parkway,Béchar,63,59025,1.07137E+11,POINT (0 0),25-09-2014 22.29
74,1124 Buenaventura Drive,Mekka,13,6856,4.07734E+11,POINT (0 0),25-09-2014 22.32
75,492 Cam Ranh Street,Eastern Visayas,61,50805,5.65018E+11,POINT (124.8006205 10.6785254),25-09-2014 22.32
76,89 Allappuzha (Alleppey) Manor,National Capital Reg,517,75444,2.558E+11,POINT (0 0),25-09-2014 22.32
77,1947 Poos de Caldas Boulevard,Chiayi,114,60951,4.27454E+11,POINT (120.3928389 23.4617851),25-09-2014 22.33
78,1206 Dos Quebradas Place,São Paulo,431,20207,2.41833E+11,POINT (0 0),25-09-2014 22.30
79,1551 Rampur Lane,Changhwa,108,72394,2.51164E+11,POINT (0 0),25-09-2014 22.33
80,602 Paarl Street,Pavlodar,402,98889,8.96315E+11,POINT (77.0043801 52.2740146),25-09-2014 22.31
81,1692 Ede Loop,São Paulo,30,9223,9.18711E+11,POINT (0 0),25-09-2014 22.30
82,936 Salzburg Lane,Uttar Pradesh,425,96709,8.75757E+11,POINT (81.2449939 26.2191025),25-09-2014 22.31
83,586 Tete Way,Kanagawa,256,1079,18581624103,POINT (139.5502887 35.3088962),25-09-2014 22.31
84,1888 Kabul Drive,Oyo & Osun,217,20936,7.01457E+11,POINT (0 0),25-09-2014 22.32
85,320 Baiyin Parkway,Mahajanga,319,37307,2.23665E+11,POINT (46.3166743 -15.7166741),25-09-2014 22.31
86,927 Baha Blanca Parkway,Krim,479,9495,8.21972E+11,POINT (34.1107975 44.9571971),25-09-2014 22.33
87,929 Tallahassee Loop,Gauteng,497,74671,8.00717E+11,POINT (28.4194136 -26.2533214),25-09-2014 22.33
88,125 Citt del Vaticano Boulevard,Puebla,40,67912,48417642933,POINT (-98.4361382 18.9081595),25-09-2014 22.32
89,1557 Ktahya Boulevard,England,88,88002,7.20998E+11,POINT (-1.7520692 53.7939173),25-09-2014 22.33
90,870 Ashqelon Loop,Songkhla,489,84931,1.35117E+11,POINT (100.5951996 7.1988262),25-09-2014 22.33
91,1740 Portoviejo Avenue,Sucre,480,29932,1.98123E+11,POINT (-75.3977888 9.3047285),25-09-2014 22.30
92,1942 Ciparay Parkway,Cheju,113,82624,9.78987E+11,POINT (126.5461176 33.4016753),25-09-2014 22.33
93,1926 El Alto Avenue,Buenos Aires,289,75543,8.46225E+11,POINT (-57.9545302 -34.9214582),25-09-2014 22.30
94,1952 Chatsworth Drive,Guangdong,332,25958,9.91562E+11,POINT (116.1337663 24.3536429),25-09-2014 22.30
95,1370 Le Mans Avenue,Brunei and Muara,53,52163,3.4568E+11,POINT (114.9480606 4.9402974),25-09-2014 22.30
96,984 Effon-Alaiye Avenue,Gois,183,17119,1.32987E+11,POINT (0 0),25-09-2014 22.30
97,832 Nakhon Sawan Manor,Inner Mongolia,592,49021,2.75596E+11,POINT (122.7166725 486172957.0),25-09-2014 22.30
98,152 Kitwe Parkway,Caraga,82,53182,8.35434E+11,POINT (126.3163958 8.2152827),25-09-2014 22.32
99,1697 Tanauan Lane,Punjab,399,22870,4764773857,POINT (75.6449709 32.3316749),25-09-2014 22.31
100,1308 Arecibo Way,Georgia,41,30695,6171054059,POINT (-81.9748497 33.4709748),25-09-2014 22.33
101,1599 Plock Drive,Tete,534,71986,8.17249E+11,POINT (33.5866733 -16.1563948),25-09-2014 22.32
102,669 Firozabad Loop,Abu Dhabi,12,92265,4.12903E+11,POINT (55.7605667 24.1916795),25-09-2014 22.33
103,588 Vila Velha Manor,Kyongsangbuk,268,51540,3.3334E+11,POINT (0 0),25-09-2014 22.33
104,1913 Kamakura Place,Lipetsk,238,97287,9.42571E+11,POINT (0 0),25-09-2014 22.32
105,733 Mandaluyong Place,Asir,2,77459,1.96568E+11,POINT (42.5052814 18.2163937),25-09-2014 22.32
106,659 Vaduz Drive,Ha Darom,34,49708,7.09935E+11,POINT (0 0),25-09-2014 22.31
107,1177 Jelets Way,Kwara & Kogi,220,3305,4.84293E+11,POINT (4.5546462 8.5497914),25-09-2014 22.32
108,1386 Yangor Avenue,Provence-Alpes-Cte,543,80720,4.49216E+11,POINT (0 0),25-09-2014 22.31
109,454 Nakhon Sawan Boulevard,Funafuti,173,76383,9.63887E+11,POINT (179.1941789 -8.5242561),25-09-2014 22.33
110,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,225,78311,5.47003E+11,POINT (40.9713993 56.9971905),25-09-2014 22.32
111,1532 Dzerzinsk Way,Buenos Aires,334,9599,3.30838E+11,POINT (-58.7282854 -34.6658341),25-09-2014 22.30
112,1002 Ahmadnagar Manor,Mxico,213,93026,3.71491E+11,POINT (0 0),25-09-2014 22.32
113,682 Junan Way,North West,273,30418,6.22255E+11,POINT (26.6667296 -26.8521304),25-09-2014 22.33
114,804 Elista Drive,Hubei,159,61069,3.79805E+11,POINT (109.4833346 30.3716555),25-09-2014 22.30
115,1378 Alvorada Avenue,Distrito Federal,102,75834,2.72234E+11,POINT (-66.8791948 10.4880184),25-09-2014 22.34
116,793 Cam Ranh Avenue,California,292,87057,8.24371E+11,POINT (-118.1367498 34.6980486),25-09-2014 22.33
117,1079 Tel Aviv-Jaffa Boulevard,Sucre,132,10885,3.58179E+11,POINT (0 0),25-09-2014 22.34
118,442 Rae Bareli Place,Nordrhein-Westfalen,148,24321,8.86636E+11,POINT (6.7651616 51.4324703),25-09-2014 22.31
119,1107 Nakhon Sawan Avenue,Mxico,365,75149,8.67547E+11,POINT (0 0),25-09-2014 22.32
120,544 Malm Parkway,Central Java,403,63502,3.8676E+11,POINT (109.3666757 -6.9424081),25-09-2014 22.31
121,1967 Sincelejo Place,Gujarat,176,73644,5.77813E+11,POINT (72.6833332 23.2166788),25-09-2014 22.31
122,333 Goinia Way,Texas,185,78625,9.09029E+11,POINT (-96.9977802 32.7459686),25-09-2014 22.33
123,1987 Coacalco de Berriozbal Loop,al-Qalyubiya,476,96065,7.87654E+11,POINT (31.2505396 30.1251153),25-09-2014 22.30
124,241 Mosul Lane,Risaralda,147,76157,7.65345E+11,POINT (-75.6672757 4.8391685),25-09-2014 22.30
125,211 Chiayi Drive,Uttar Pradesh,164,58186,6.65994E+11,POINT (79.0215973 26.7778423),25-09-2014 22.31
126,1175 Tanauan Way,Lima,305,64615,9.37223E+11,POINT (-77.0282484 -12.0431865),25-09-2014 22.32
127,117 Boa Vista Way,Uttar Pradesh,566,6804,6.77976E+11,POINT (83.0104161 25.3166821),25-09-2014 22.31
128,848 Tafuna Manor,Kütahya,281,45142,6.14935E+11,POINT (0 0),25-09-2014 22.33
129,569 Baicheng Lane,Gauteng,85,60304,4.90212E+11,POINT (28.2595823 -26.2119716),25-09-2014 22.33
130,1666 Qomsheh Drive,São Paulo,410,66255,5.82835E+11,POINT (0 0),25-09-2014 22.30
131,801 Hagonoy Drive,Smolensk,484,8439,2.37426E+11,POINT (32.0401193 54.7818296),25-09-2014 22.32
132,1050 Garden Grove Avenue,Slaskie,236,4999,9.73047E+11,POINT (0 0),25-09-2014 22.32
133,1854 Tieli Street,Shandong,302,15819,5.09492E+11,POINT (115.9776621 36.4559676),25-09-2014 22.30
134,758 Junan Lane,Gois,190,82639,9.35449E+11,POINT (0 0),25-09-2014 22.30
135,1752 So Leopoldo Parkway,Taka-Karpatia,345,14014,2.52265E+11,POINT (0 0),25-09-2014 22.33
136,898 Belm Manor,Free State,87,49757,7.07169E+11,POINT (26.7052868 -29.2701604),25-09-2014 22.33
137,261 Saint Louis Way,Coahuila de Zaragoza,541,83401,3.21944E+11,POINT (0 0),25-09-2014 22.32
138,765 Southampton Drive,al-Qalyubiya,421,4285,23712411567,POINT (31.2056807 30.1792216),25-09-2014 22.30
139,943 Johannesburg Avenue,Maharashtra,417,5892,90921003005,POINT (73.8553565 18.5195797),25-09-2014 22.31
140,788 Atinsk Street,Karnataka,211,81691,1.46498E+11,POINT (758133303.0 15.4501336),25-09-2014 22.31
141,1749 Daxian Place,Gelderland,29,11044,9.6337E+11,POINT (5.9694471 52.2194571),25-09-2014 22.32
142,1587 Sullana Lane,Inner Mongolia,207,85769,4.6806E+11,POINT (111.6522231 40.8105654),25-09-2014 22.30
143,1029 Dzerzinsk Manor,Ynlin,542,57519,33173584456,POINT (0 0),25-09-2014 22.33
144,1666 Beni-Mellal Place,Tennessee,123,13377,9099941466,POINT (-87.3594586 36.5297793),25-09-2014 22.33
145,928 Jaffna Loop,Hiroshima,172,93762,5.81852E+11,POINT (133.3666742 34.4833354),25-09-2014 22.31
146,483 Ljubertsy Parkway,Scotland,149,60562,5.81174E+11,POINT (-2.9748951 56.4691327),25-09-2014 22.33
147,374 Bat Yam Boulevard,Kilis,266,97700,9.23262E+11,POINT (37.1154257 36.7161151),25-09-2014 22.33
148,1027 Songkhla Manor,Minsk,340,30861,5.6366E+11,POINT (0 0),25-09-2014 22.30
149,999 Sanaa Loop,Gauteng,491,3439,9.18032E+11,POINT (28.0991912 -25.4728869),25-09-2014 22.33
150,879 Newcastle Way,Michigan,499,90732,2.06841E+11,POINT (-83.0302359 42.5803102),25-09-2014 22.34
151,1337 Lincoln Parkway,Saitama,555,99457,5.97815E+11,POINT (139.6452896 35.8616754),25-09-2014 22.31
152,1952 Pune Lane,Saint-Denis,442,92150,3.54615E+11,POINT (0 0),25-09-2014 22.32
153,782 Mosul Street,Massachusetts,94,25545,8.859E+11,POINT (-71.0183899 42.0834357),25-09-2014 22.33
154,781 Shimonoseki Drive,Michoacn de Ocampo,202,95444,6.32316E+11,POINT (0 0),25-09-2014 22.32
155,1560 Jelets Boulevard,Shandong,291,77777,1.89446E+11,POINT (117.6569432 36.1927835),25-09-2014 22.30
156,1963 Moscow Place,Assam,354,64863,7.61379E+11,POINT (92.6922571 26.3503746),25-09-2014 22.31
157,456 Escobar Way,Jakarta Raya,232,36061,7.19203E+11,POINT (106.8451399 -6.2146236),25-09-2014 22.31
158,798 Cianjur Avenue,Shanxi,590,76990,4.99409E+11,POINT (110.9927885 35.0230678),25-09-2014 22.30
159,185 Novi Sad Place,Bern,72,41778,9.04254E+11,POINT (7.4474467 46.9480957),25-09-2014 22.33
160,1367 Yantai Manor,Ondo & Ekiti,381,21294,8.89538E+11,POINT (5.0833356 7.1666732),25-09-2014 22.32
161,1386 Nakhon Sawan Boulevard,Pyongyang-si,420,53502,3.68899E+11,POINT (125.7543291 39.0338568),25-09-2014 22.32
162,369 Papeete Way,North Carolina,187,66639,1.70117E+11,POINT (-79.7919837 36.0726408),25-09-2014 22.33
163,1440 Compton Place,North Austria,307,81037,9.3106E+11,POINT (0 0),25-09-2014 22.30
164,1623 Baha Blanca Manor,Moskova,310,81511,1.49981E+11,POINT (0 0),25-09-2014 22.32
165,97 Shimoga Avenue,Tel Aviv,533,44660,1.77167E+11,POINT (34.7805719 32.0808879),25-09-2014 22.31
166,1740 Le Mans Loop,Pays de la Loire,297,22853,1.68477E+11,POINT (0.2925425 489535594.0),25-09-2014 22.31
167,1287 Xi´angfan Boulevard,Gifu,253,57844,8.19416E+11,POINT (136.8666778 35.4166765),25-09-2014 22.31
168,842 Salzburg Lane,Adana,529,3313,6.97151E+11,POINT (35.6654367 37.2994811),25-09-2014 22.33
169,154 Tallahassee Loop,Xinxiang,199,62250,9.35509E+11,POINT (0 0),25-09-2014 22.30
170,710 San Felipe del Progreso Avenue,Lilongwe,304,76901,8.43801E+11,POINT (33.7872564 -13.9669289),25-09-2014 22.31
171,1540 Wroclaw Drive,Maharashtra,107,62686,1.82363E+11,POINT (79.2960722 19.9471171),25-09-2014 22.31
172,475 Atinsk Way,Gansu,240,59571,2.01706E+11,POINT (102.1937901 38.5006258),25-09-2014 22.30
173,1294 Firozabad Drive,Ji´angxi,407,70618,1.61802E+11,POINT (113.8700962 27.5781343),25-09-2014 22.30
174,1877 Ezhou Lane,Rajasthan,550,63337,2.64542E+11,POINT (73.6918333 24.5711714),25-09-2014 22.31
175,316 Uruapan Street,Perak,223,58194,2.75789E+11,POINT (101.0829914 4.5841352),25-09-2014 22.31
176,29 Pyongyang Loop,Batman,58,47753,7.34781E+11,POINT (41.1322155 37.8873816),25-09-2014 22.33
177,1010 Klerksdorp Way,Steiermark,186,6802,4.93009E+11,POINT (15.4512761 47.0666727),25-09-2014 22.30
178,1848 Salala Boulevard,Miranda,373,25220,48265851133,POINT (-66.7760937 10.1164909),25-09-2014 22.34
179,431 Xi´angtan Avenue,Kerala,18,4854,2.30251E+11,POINT (0 0),25-09-2014 22.31
180,757 Rustenburg Avenue,Skikda,483,89668,5.06134E+11,POINT (6.9092172 36.8761757),25-09-2014 22.30
181,146 Johannesburg Way,Tamaulipas,330,54132,9.53689E+11,POINT (-97.5041713 25.8797291),25-09-2014 22.32
182,1891 Rizhao Boulevard,São Paulo,456,47288,3.91066E+11,POINT (0 0),25-09-2014 22.30
183,1089 Iwatsuki Avenue,Kirov,270,35109,8.66092E+11,POINT (0 0),25-09-2014 22.32
184,1410 Benin City Parkway,Risaralda,405,29747,1.0415E+11,POINT (-75.6961154 4.8133305),25-09-2014 22.30
185,682 Garden Grove Place,Tennessee,333,67497,72136330362,POINT (-90.0489828 35.1495346),25-09-2014 22.33
186,533 al-Ayn Boulevard,California,126,8862,6.62227E+11,POINT (-118.2200788 33.8958567),25-09-2014 22.33
187,1839 Szkesfehrvr Parkway,Gois,317,55709,9.47469E+11,POINT (0 0),25-09-2014 22.30
188,741 Ambattur Manor,Noord-Brabant,438,43310,3.0259E+11,POINT (5.3041706 51.6991772),25-09-2014 22.32
189,927 Barcelona Street,Chaharmahal va Bakht,467,65121,9.51486E+11,POINT (0 0),25-09-2014 22.31
190,435 0 Way,West Bengali,195,74750,7.60172E+11,POINT (88.1097549 22.0604684),25-09-2014 22.31
191,140 Chiayi Parkway,Sumy,506,38982,8.55864E+11,POINT (34.8002989 50.9216315),25-09-2014 22.33
192,1166 Changhwa Street,Caraga,62,58852,6.50752E+11,POINT (125.7675248 8.7561117),25-09-2014 22.32
193,891 Novi Sad Manor,Ontario,383,5379,2.47647E+11,POINT (-78.8495705 43.9001243),25-09-2014 22.30
194,605 Rio Claro Parkway,Tabora,513,49348,3.52469E+11,POINT (32.8266393 -5.0162258),25-09-2014 22.33
195,1077 San Felipe de Puerto Plata Place,Rostov-na-Donu,369,65387,8.12824E+11,POINT (0 0),25-09-2014 22.32
196,9 San Miguel de Tucumn Manor,Uttar Pradesh,169,90845,9.56189E+11,POINT (78.4018032 27.1494196),25-09-2014 22.31
197,447 Surakarta Loop,Nyanza,271,10428,9.4083E+11,POINT (0 0),25-09-2014 22.31
198,345 Oshawa Boulevard,Tokyo-to,204,32114,1.04491E+11,POINT (139.4002884 35.6730684),25-09-2014 22.31
199,1792 Valle de la Pascua Place,Nordrhein-Westfalen,477,15540,4.1942E+11,POINT (8.0243129 50.8748198),25-09-2014 22.31
200,1074 Binzhou Manor,Baden-Wrttemberg,325,36490,3.31133E+11,POINT (0 0),25-09-2014 22.31
201,817 Bradford Loop,Ji´angsu,109,89459,2.64286E+11,POINT (119.9540109 31.7735997),25-09-2014 22.30
202,955 Bamenda Way,Ondo & Ekiti,218,1545,7.68482E+11,POINT (0 0),25-09-2014 22.32
203,1149 A Corua (La Corua) Boulevard,Haiphong,194,95824,4.70884E+11,POINT (106.6834545 20.8648139),25-09-2014 22.34
204,387 Mwene-Ditu Drive,Ahal,35,8073,7.64478E+11,POINT (58.3833386 37.9575146),25-09-2014 22.33
205,68 Molodetno Manor,Nordrhein-Westfalen,575,4662,1.46641E+11,POINT (7.3525872 51.4436286),25-09-2014 22.31
206,642 Nador Drive,Maharashtra,77,3924,3.6905E+11,POINT (75.7817558 21.0465825),25-09-2014 22.31
207,1688 Nador Lane,Sulawesi Utara,184,61613,6.52218E+11,POINT (122.3166772 0.7726177),25-09-2014 22.31
208,1215 Pyongyang Parkway,Usak,557,25238,6.46237E+11,POINT (29.4058642 38.6735189),25-09-2014 22.33
209,1679 Antofagasta Street,Alto Paran,122,86599,9.05904E+11,POINT (0 0),25-09-2014 22.32
210,1304 ´s-Hertogenbosch Way,Santa Catarina,83,10925,90336226227,POINT (-49.0661132 -26.9194492),25-09-2014 22.30
211,850 Salala Loop,Kitaa,371,10800,4.03405E+11,POINT (0 0),25-09-2014 22.31
212,624 Oshawa Boulevard,West Bengali,51,89959,49677664184,POINT (88.7773227 25.2209978),25-09-2014 22.31
213,43 Dadu Avenue,Rajasthan,74,4855,95666951770,POINT (74.6352311 25.3464477),25-09-2014 22.31
214,751 Lima Loop,Aden,7,99405,7.5646E+11,POINT (45.0366738 12.7794459),25-09-2014 22.34
215,1333 Haldia Street,Jilin,174,82161,4.08304E+11,POINT (124.8166714 45.1833321),25-09-2014 22.30
216,660 Jedda Boulevard,Washington,65,25053,1.68758E+11,POINT (-122.2006874 47.6103871),25-09-2014 22.33
217,1001 Miyakonojo Lane,Taizz,518,67924,5.84317E+11,POINT (44.0209143 13.5795289),25-09-2014 22.34
218,226 Brest Manor,California,508,2299,7.85881E+11,POINT (-122.0363565 37.3688354),25-09-2014 22.34
219,1229 Valencia Parkway,Haskovo,498,99124,3.52679E+11,POINT (0 0),25-09-2014 22.30
220,1201 Qomsheh Manor,Gois,28,21464,8.73492E+11,POINT (0 0),25-09-2014 22.30
221,866 Shivapuri Manor,Uttar Pradesh,448,22474,7.78503E+11,POINT (78.5668976 28.5832347),25-09-2014 22.31
222,1168 Najafabad Parkway,Kabol,251,40301,8.86649E+11,POINT (69.1723396 34.5281317),25-09-2014 22.29
223,1244 Allappuzha (Alleppey) Place,Buenos Aires,567,20657,9.91803E+11,POINT (0 0),25-09-2014 22.30
224,1842 Luzinia Boulevard,Zanzibar West,593,94420,7.06879E+11,POINT (39.1979342 -6.1639465),25-09-2014 22.33
225,1926 Gingoog Street,Sisilia,511,22824,4.69739E+11,POINT (15.2762835 37.0841577),25-09-2014 22.31
226,810 Palghat (Palakkad) Boulevard,Jaroslavl,235,73431,5.16331E+11,POINT (39.8736803 57.6298723),25-09-2014 22.32
227,1820 Maring Parkway,Punjab,324,88307,99760893676,POINT (73.4843114 32.5833916),25-09-2014 22.32
228,60 Poos de Caldas Street,Rajasthan,243,82338,9.63064E+11,POINT (73.0059404 26.2684113),25-09-2014 22.31
229,1014 Loja Manor,Tamil Nadu,22,66851,4.60796E+11,POINT (80.1615253 13.0981817),25-09-2014 22.31
230,201 Effon-Alaiye Way,Asunción,37,64344,6.84193E+11,POINT (0 0),25-09-2014 22.32
231,430 Alessandria Loop,Saarland,439,47446,6.69828E+11,POINT (0 0),25-09-2014 22.31
232,754 Valencia Place,Phnom Penh,406,87911,5.94319E+11,POINT (104.9160101 11.5624572),25-09-2014 22.30
233,356 Olomouc Manor,Gois,26,93323,22326410776,POINT (0 0),25-09-2014 22.30
234,1256 Bislig Boulevard,Botosani,86,50598,4.79007E+11,POINT (26.6666762 47.7515488),25-09-2014 22.32
235,954 Kimchon Place,West Bengali,559,42420,5.41328E+11,POINT (0 0),25-09-2014 22.31
236,885 Yingkou Manor,Kaduna,596,31390,5.88965E+11,POINT (7.7227418 11.1112878),25-09-2014 22.32
237,1736 Cavite Place,Qina,216,98775,4.31771E+11,POINT (0 0),25-09-2014 22.30
238,346 Skikda Parkway,Hawalli,233,90628,6.30424E+11,POINT (0 0),25-09-2014 22.31
